query,answer,image,image_path,Unnamed: 4,sub_queries
What color is the Santa Anita Park logo?,blue,117d500aaa630023c4038b8268b309c0,82cc3247a93f4ada21160484bd92c8e2.jpg,,Santa Anita Park| logo color
What is the man holding in the poster for Blue Eyes (film)?,gun,7a4790992bbb4a853e001e7b68752e24,31db827673cc254553e9c3d2ba381611.jpg,,poster| Blue Eyes (film)| man| holding
What object is in front of Felicia Day's face?,microphone,d179a14875639d9cfb680f784223b271,56dfb117678d46e0f6b2b8e39067bfd6.jpg,,Felicia Day| object in front of face
What color hair does alyson stoner have?,blonde,19af22e07afe0137773a47a13cae475b,923e711bda2d2cb87cc3ef4fd1434eb8.jpg,,Alyson Stoner| hair color
"Is there an amusement park featured in the collage of Tampa, Florida?",yes,04efc3408a15848ab446ddc2d4d2bd13,bbe5c044ae8a0e2854dfda0ed5f57e9c.jpg,,"amusement park| collage| Tampa, Florida"
"What is going across the river and in the water on Parkersburg, West Virginia?",bridge,55135d3219a8a9ab6b827fee6b0723e7,b43402139fb0689a76c27f75be6d9c47.jpg,,river| Parkersburg| West Virginia
How many colors are on the Mississippi flag?,3,33002a89d4b97618a27a90454ef225f6,e128f3303676f3a2c41fe4290320b3d8.jpg,,Mississippi flag| colors
What arid climate is the region where Page Municipal Airport is located?,desert,ea63f0bf3dfcbd0efe3e90ff0af6e5ef,fd56dccb821c02201b66b3cac3c791b5.JPG,,arid climate| Page Municipal Airport| region
How many colors are inthe Point Skyhawks logo?,4,c7e8e33a198f9ff64ed01fcca4386267,c59afc0a9602a7a56b42a3b4a04590fb.jpg,,Point Skyhawks| logo| colors
What color is Giorgio Armani's hair?,white,89c1b7c3c061cc80bb98d99cbbec50dd,8e0e70b304c51f310063b61e2d54c8d9.jpg,,Giorgio Armani| hair color
What type of ball is shown on the sleeve of Arjen Robben?,soccer,c9bab469e88adc0419a34a6abf7226ff,15f74db8e36683b03662df916a3ad45f.jpg,,Arjen Robben| sleeve| ball
What is at the top of the logo for Esporte Clube Santo Andre?,crown,cd688309f231129c3e897a33704d62e6,4a1cb7ce64a93a3336b7143e17fd4438.jpg,,logo| Esporte Clube Santo Andre| top
