question,answer,image
What is Frederick Muhlenberg using to write?,quill,00000000000000000001png
Where is the Centre for social work and consultation?,hamburg,00000000000000000003png
What color hats does the Foreign Legion wear?,White,00000000000000000004png
What is next to the windmill?,house,00000000000000000007png
What types of windows are on the first floor?,shuttered,00000000000000000011png
How many trees are outside Zambia National Assembly?,5,00000000000000000014png
When was the Ghost of Christmas Present done?,1843,00000000000000000016png
At the 2010 National Cherry Blossom Festival patrons can visit the memorial landmark named in honor of which president?,Jefferson,00000000000000000017png
What color is the most widely recognized taxicabs in the city?,Yellow,00000000000000000020png
How many trees are beside the house?,2,00000000000000000022png
what type of material might the backdrop behind Sonja Sohn be made of?,wood,00000000000000000024png
The National Mall features which type of grove?,cherry,00000000000000000025png
What are the round objects holding?,film,00000000000000000031png
When was Ignorance and Want the original edition done?,1843,00000000000000000033png
Who jumped from a C-17 Globemaster III aircraft?,soldiers,00000000000000000040png
Where is 92.1 FM CJAI located?,amherst,00000000000000000041png
At which university can the Butler Library be found?,Columbia,00000000000000000043png
What city is the center of the New York City metropolitan area?,Manhattan,00000000000000000045png
What shape is Olaudah Equiano's representation?,oval,00000000000000000046png
What year was the U.S. Census?,2010,00000000000000000049png
What color is the building?,brown,00000000000000000050png
How many bushes are near the Bon Air Hotel?,6,00000000000000000051png
What color is the Lambretta 125 D?,green,00000000000000000060png
What is the name of the fort on Marsaxlokk Bay?,benghisa,00000000000000000061png
What is on the seal of the Speaker?,eagle,00000000000000000068png
What was on the egg from the Saint Kosmas Aitolos Greek Orthodox Monastery?,cross,00000000000000000070png
What color is Tessa Thompson's top?,purple,00000000000000000071png
Is the country landlocked?,no,00000000000000000074png
What color is the line in the graph of Population of Twinstead?,blue,00000000000000000078png
What type of museum is the Lincoln Center?,Arts,00000000000000000080png
How many legs does the Woking Martian have?,3,00000000000000000083png
How many people are in the Ballads of bravery?,4,00000000000000000084png
What shuttles people between Manhatten and Statten Island?,Ferry,00000000000000000085png
How do you get to the building?,path,00000000000000000086png
How many boroughs does New York City have?,5,00000000000000000087png
What does the sign in Shankill road say not to do?,surrender,00000000000000000093png
What kind of signs are they in Lock Road?,neon,00000000000000000094png
What color are mint leaves?,green,00000000000000000098png
What colour is Keith Olbermann's hair?,grey,00000000000000000101png
What type of trees can be found in the Tidal Basin?,cherry,00000000000000000103png
What was sold in the stall?,fruit,00000000000000000105png
What is on the coat of arms?,cross,00000000000000000108png
In what kind of building did Dickens work?,Warehouse,00000000000000000109png
What material is the inscription carved into?,stone,00000000000000000110png
What animal is on the boat during the Kuomboka ceremony?,elephant,00000000000000000112png
Washington Irving lived in which time period?,1800s,00000000000000000115png
What island is Little Italy on?,Manhattan,00000000000000000116png
How many census areas are dark green?,13,00000000000000000120png
Modernist architecture juxtaposed with Gothic Revival architecture is seen often in which city?,nyc,00000000000000000121png
What color is the stripe?,red,00000000000000000123png
What is it that commemorates the Foreign Legion soldiers who were killed on duty in the South-Oranese campaign (1897-1902)?,Monument,00000000000000000127png
Where is the Yoshino cultivar most common?,"d,c",00000000000000000128png
What does Walter Francis White use for his eyesight?,glasses,00000000000000000132png
What can be seen on the coat of arms?,tree,00000000000000000135png
What kind of event is this?,concert,00000000000000000136png
What year are the results by county from?,2008,00000000000000000139png
