query,answer,image
What animals race in the Kentucky Derby?,horses,5588a1833b8fa95fe1b0ed520e447d64
What color is the Santa Anita Park logo?,blue,117d500aaa630023c4038b8268b309c0
What is the man holding in the poster for Blue Eyes (film)?,gun,7a4790992bbb4a853e001e7b68752e24
What object is in front of Felicia Day's face?,microphone,d179a14875639d9cfb680f784223b271
What color hair does alyson stoner have?,blonde,19af22e07afe0137773a47a13cae475b
"Is there an amusement park featured in the collage of Tampa, Florida?",yes,04efc3408a15848ab446ddc2d4d2bd13
"What is going across the river and in the water on Parkersburg, West Virginia?",bridge,55135d3219a8a9ab6b827fee6b0723e7
How many colors are on the Mississippi flag?,3,33002a89d4b97618a27a90454ef225f6
What arid climate is the region where Page Municipal Airport is located?,desert,ea63f0bf3dfcbd0efe3e90ff0af6e5ef
How many colors are inthe Point Skyhawks logo?,4,c7e8e33a198f9ff64ed01fcca4386267
What color is Giorgio Armani's hair?,white,89c1b7c3c061cc80bb98d99cbbec50dd
What type of ball is shown on the sleeve of Arjen Robben?,soccer,c9bab469e88adc0419a34a6abf7226ff
What is at the top of the logo for Esporte Clube Santo Andre?,crown,cd688309f231129c3e897a33704d62e6
What is the man on the poster for Black Hawk Down (film) holding in his right hand?,gun,afc2fd4277f09b50b68b2b7191d687b8
Is there an adult on the motorcycle in the poster for Easy Wheels?,no,7377d327e9b7294fdb91127343e04240
Is Glen E. Friedman's jacket zipped or unzipped?,unzipped,fc9ebf2e2f864094d3a6abd6d8674e34
What is hitting the bongos in the Incredible Bongo Band cover?,hands,bea253af5c65cce9e682cde1771431a2
What position are James Brown's hands in?,fists,8c94c8863a1dc12601f588064056198f
How many people are in this picture of The Marcels?,nine,04bf43de3fb9ec60e2d4ae2730ec26a3
What style earrings is P. Susheela wearing?,hoops,66eb4368e9ce2866d826f0a388113c90
"Is Plamen Iliev (footballer, born 1991) wearing green?",yes,c22fa469de500495cde9e49c19fafb4e
What type of ball is the center of the FC Bolosani logo?,soccer,4fe987d30eff1647e86e30f858267ffc
What is the main color on the cover of Kicking and Screaming (1995 film)?,green,e9e7af0a85bfe062956f1b070e486bce
"Margot at the Wedding has how many main characters, as portrayed on the front cover?",3,890daca84ae6e9abf9529097b7185e08
What type of outfit is Wes Anderson wearing?,suit,4a012b0163ce8530bf8760511d269d4f
How many people are on the advertisement for Solarbabies?,6,ff47f2e753a2a5825174438fd981716b
What are the men wearing around their necks in Dil Jo Bhi Kahey poster?,ties,083b166c958a6479df5195ec55680460
What color is the woman's hair on the top of the advertisement for True True Lie?,blond,ab5b1e945e030bcb84f638050605ee2c
What body part is on the front cover of As Real as It Gets?,hand,0d057428fb6a3fd99797cefdb845ef11
What sport is Maria Kharenkova participating in?,gymnastics,95547e88fe5b762e4583375da84acd3a
What color is the portion of the mat that Lilia Akhaimova is standing on?,white,2f94454039f886628e87c36a4e2afa0c
What hairstyle is Maria Paseka wearing?,bun,6e93cfddb4d618c783245ab32c6f341a
What is covering Viktoria Komova's forehead?,bangs,1718c48e4ec8cefab50e30adddc3f738
What is floating around the two people in Slumdog Millionaire?,confetti,6eaff02e7a4e8da95cd67e4021d98c6d
What is in the center of the logo for Alliance of American Football?,football,c62600f3a571cbb38bd66e124be5ec8a
Does Biohazard (band) perform live?,yes,03fcd384671ac52f7efc39f5a3be92db
Are the Transplants (band) giving an indoor or outdoor concert?,outdoor,bae81d7cfc1689353f90851dc0c8828f
What color shirt is Tommaso Benvenuti (rugby union) wearing ?,blue,3ff0574ce7020df4a809ade7543d2f01
What type of shoes is Takudzwa Ngwenya wearing?,cleats,d9ff3439677437f743e3d6b1122a76b8
What sport is Jonathan Sexton playing here?,rugby,ecc0ee1f35c325597bcf209174e40dca
What type of pants is Ben Foden wearing?,shorts,a86332e817d902400866ca11e12e1444
Is Marvin the Martian shown on the poster for Bugs Bunny: Lost in Time game?,yes,5c751696e76db5161604e2d5c2d3f278
What is Elmer Fudd holding?,cane,5a2697a71ac83f0776b4495cabde19dd
What color are the gloves worn in Muttley?,red,d7051b92c135cd457fb53ace3a0caa65
What is the woman on the Almost Famous poster wearing on her eyes?,sunglasses,1cb81000e30369eeb33654a9f653e7e6
"In Torpedo, what is in the diver's right hand?",harpoon,62f67108c087d149c3d245e913660bd9
How many people are in the Reservoir Dogs poster?,five,b44e0cf530d532c59e7fdd9a59f391c1
Is there a rocket in this photo of the Geosynchronous Satellite Launch Vehicle?,yes,38d56076632cae4ce6b97c49afda00f5
What color dress is the woman wearing in the Tanu Weds Manu poster?,green,b903b91a9cb9a72b45113055adba7658
What color dress is the woman on the right wearing in Nil Battey Sannata?,red,9d3d8ad4942b1bb99e30c438e67e0798
"What color is the woman's hair, who Romeo is kissing?",orange,55d097da2debadcfdde6e3c6f7953dec
Does William Shakespeare have long or short hair in this image?,long,b95286acbb525edd9a1171deef37ee48
How many columns are at the front of The Old Vic theatre?,6,969c35c3a4f152107d2b6eaf4b552697
Is Manon's clothing shiny?,yes,7a519bb802d41ef1b76c704bc4b32cd4
What is Don Giovanni holding in his right hand?,sword,3a54edd73657b7508a9e60575b002f2b
What color undershirt is Wolfgang Amadeus Mozart wearing?,white,6966304e203aac28b259671c44d3ca3e
What kind of structure depicted in the bottom image of the San Francisco Bay Area collage?,bridge,217469315ba1763765d35978e6699946
How many members of Grand Funk Railroad have long hair?,one,19552d5b2f6c96265e8b327a988d79ac
What color hair does Jackée Harry have?,black,182c182363f77cb56504d4c19dae56dc
What is Regina King wearing on her head?,headband,56d229bc6428c1909f95df538950ebb9
"Of the clothing that Vijay Amritraj is wearing, which piece of clothing is striped?",tie,246ed94f09db711d85c36b3ada80aa1b
What is on the wrists of Arthur Ashe?,wristbands,80b9da7ee2e0436ed43bf6c4be6285e5
What is directly behind Brad Gilbert?,fence,b10a9f981a385afef039b94ae26942ac
Does Dries Mertens have his mouth open or closed?,closed,a81f75bdeaa7b0a15c41dbfa69696c07
What gold shape is on the upper right jacket of Suso (footballer)?,star,aeda90835f1790f8962cd41a70d6bc35
What direction is Rodrigo De Paul wearing his hat?,backwards,7475a2210f7f3e3556ab964c35261cbe
What type of piercing does Manuel Lazzari have?,ear,897f52c139bd67b0453648ef089f753b
What is Julianne Moore wearing around her neck?,necklace,fffeb86b582502524ae6d97ef8383069
