query,answer,image,image_path,sub_queries
What color is the Santa Anita Park logo?,blue,117d500aaa630023c4038b8268b309c0,117d500aaa630023c4038b8268b309c0.jpg,Santa Anita Park| logo color
What is the man holding in the poster for Blue Eyes (film)?,gun,7a4790992bbb4a853e001e7b68752e24,62f7dcf4f1b72b19fbe937e81badd6b1.jpg,poster| Blue Eyes (film)| man| holding
What object is in front of Felicia Day's face?,microphone,d179a14875639d9cfb680f784223b271,d179a14875639d9cfb680f784223b271.jpg,Felicia Day| object in front of face
What color hair does alyson stoner have?,blonde,19af22e07afe0137773a47a13cae475b,19af22e07afe0137773a47a13cae475b.jpg,Alyson Stoner| hair color
"Is there an amusement park featured in the collage of Tampa, Florida?",yes,04efc3408a15848ab446ddc2d4d2bd13,04efc3408a15848ab446ddc2d4d2bd13.jpg,"amusement park| collage| Tampa, Florida"
"What is going across the river and in the water on Parkersburg, West Virginia?",bridge,55135d3219a8a9ab6b827fee6b0723e7,4f631a5505942861fed96ad8dc0fe767.jpg,river| Parkersburg| West Virginia
How many colors are on the Mississippi flag?,3,33002a89d4b97618a27a90454ef225f6,33002a89d4b97618a27a90454ef225f6.jpg,Mississippi flag| colors
What arid climate is the region where Page Municipal Airport is located?,desert,ea63f0bf3dfcbd0efe3e90ff0af6e5ef,ea63f0bf3dfcbd0efe3e90ff0af6e5ef.jpg,arid climate| Page Municipal Airport| region
How many colors are inthe Point Skyhawks logo?,4,c7e8e33a198f9ff64ed01fcca4386267,c7e8e33a198f9ff64ed01fcca4386267.jpg,Point Skyhawks| logo| colors
What color is Giorgio Armani's hair?,white,89c1b7c3c061cc80bb98d99cbbec50dd,89c1b7c3c061cc80bb98d99cbbec50dd.jpg,Giorgio Armani| hair color
What type of ball is shown on the sleeve of Arjen Robben?,soccer,c9bab469e88adc0419a34a6abf7226ff,c9bab469e88adc0419a34a6abf7226ff.jpg,Arjen Robben| sleeve| ball
What is at the top of the logo for Esporte Clube Santo Andre?,crown,cd688309f231129c3e897a33704d62e6,dd5a9d1f7f4a17ca2df1d2387339efb7.jpg,logo| Esporte Clube Santo Andre| top
What is the man on the poster for Black Hawk Down (film) holding in his right hand?,gun,afc2fd4277f09b50b68b2b7191d687b8,afc2fd4277f09b50b68b2b7191d687b8.jpg,poster| Black Hawk Down (film)| man| right hand
