query,answer,image,image_path,Unnamed: 4,sub_queries
What color is the Santa Anita Park logo?,blue,117d500aaa630023c4038b8268b309c0,f19e639537d20a2930a82dcefd38e822.jpg,,Santa Anita Park| logo color
What is the man holding in the poster for Blue Eyes (film)?,gun,7a4790992bbb4a853e001e7b68752e24,9e3652ec184e91d5a9b1bca5e7258e43.jpg,,poster| Blue Eyes (film)| man| holding
What object is in front of Felicia Day's face?,microphone,d179a14875639d9cfb680f784223b271,879271ac3fb2d48ce339bca38b5e091d.jpg,,Felicia Day| object in front of face
What color hair does alyson stoner have?,blonde,19af22e07afe0137773a47a13cae475b,e90942ec3fce0d13163d8f8f0071b603.jpg,,Alyson Stoner| hair color
"Is there an amusement park featured in the collage of Tampa, Florida?",yes,04efc3408a15848ab446ddc2d4d2bd13,dbab1d469d86e0b14d328b292c8ff47b.jpg,,"amusement park| collage| Tampa, Florida"
"What is going across the river and in the water on Parkersburg, West Virginia?",bridge,55135d3219a8a9ab6b827fee6b0723e7,1d53073cc43b5e8429e830b8142b31c9.jpg,,river| Parkersburg| West Virginia
How many colors are on the Mississippi flag?,3,33002a89d4b97618a27a90454ef225f6,d252cf03d46722af93c4a17d6c872175.jpg,,Mississippi flag| colors
What arid climate is the region where Page Municipal Airport is located?,desert,ea63f0bf3dfcbd0efe3e90ff0af6e5ef,e6fbd8efe9a350aac0be3b8f0badab52.jpg,,arid climate| Page Municipal Airport| region
How many colors are inthe Point Skyhawks logo?,4,c7e8e33a198f9ff64ed01fcca4386267,add1d3c5c1f7f5eef5a82901ac4b4c86.jpg,,Point Skyhawks| logo| colors
What color is Giorgio Armani's hair?,white,89c1b7c3c061cc80bb98d99cbbec50dd,5788621075e72ea4e9ab38c8dc00e868.jpg,,Giorgio Armani| hair color
What type of ball is shown on the sleeve of Arjen Robben?,soccer,c9bab469e88adc0419a34a6abf7226ff,1bc5b1809ac454da61a7776053347fe6.jpg,,Arjen Robben| sleeve| ball
