query,answer,image,image_path,sub_queries
What is the man holding in the poster for Blue Eyes (film)?,gun,7a4790992bbb4a853e001e7b68752e24,117d500aaa630023c4038b8268b309c0.jpg,poster| Blue Eyes (film)| man| holding
How many colors are inthe Point Skyhawks logo?,4,c7e8e33a198f9ff64ed01fcca4386267,62f7dcf4f1b72b19fbe937e81badd6b1.jpg,Point Skyhawks| logo| colors
What position are James Brown's hands in?,fists,8c94c8863a1dc12601f588064056198f,d179a14875639d9cfb680f784223b271.jpg,James Brown| hands| position
How many people are in this picture of The Marcels?,nine,04bf43de3fb9ec60e2d4ae2730ec26a3,19af22e07afe0137773a47a13cae475b.jpg,The Marcels| picture| number of people
"Is Plamen Iliev (footballer, born 1991) wearing green?",yes,c22fa469de500495cde9e49c19fafb4e,04efc3408a15848ab446ddc2d4d2bd13.jpg,Plamen Iliev| footballer| born 1991| wearing green
What is the main color on the cover of Kicking and Screaming (1995 film)?,green,e9e7af0a85bfe062956f1b070e486bce,4f631a5505942861fed96ad8dc0fe767.jpg,cover| Kicking and Screaming (1995 film)| main color
What color is the woman's hair on the top of the advertisement for True True Lie?,blond,ab5b1e945e030bcb84f638050605ee2c,33002a89d4b97618a27a90454ef225f6.jpg,advertisement| True True Lie| woman's hair
Does Biohazard (band) perform live?,yes,03fcd384671ac52f7efc39f5a3be92db,ea63f0bf3dfcbd0efe3e90ff0af6e5ef.jpg,Biohazard (band)| live performance
Are the Transplants (band) giving an indoor or outdoor concert?,outdoor,bae81d7cfc1689353f90851dc0c8828f,c7e8e33a198f9ff64ed01fcca4386267.jpg,Transplants (band)| indoor concert| outdoor concert
What type of shoes is Takudzwa Ngwenya wearing?,cleats,d9ff3439677437f743e3d6b1122a76b8,89c1b7c3c061cc80bb98d99cbbec50dd.jpg,Takudzwa Ngwenya| shoes
What is Don Giovanni holding in his right hand?,sword,3a54edd73657b7508a9e60575b002f2b,c9bab469e88adc0419a34a6abf7226ff.jpg,Don Giovanni| right hand
What direction is Rodrigo De Paul wearing his hat?,backwards,7475a2210f7f3e3556ab964c35261cbe,dd5a9d1f7f4a17ca2df1d2387339efb7.jpg,Rodrigo De Paul| hat| direction
How many streams of water are seen in the fountain in front of Lyric Theatre (Hammersmith)?,twelve,5efa8a7f6a11def76e2d39030d622110,afc2fd4277f09b50b68b2b7191d687b8.jpg,fountain| streams of water| Lyric Theatre (Hammersmith)
What item is positioned directly in front of Michael Laudrup?,microphone,194809106165e7bd9a0dbbd15fcc4d33,7377d327e9b7294fdb91127343e04240.jpg,Michael Laudrup| item| position
What does Helen Love have in her hands?,beverage,e332c859c0937f1937b54e814cb88e5c,c2914006ae153caf1bba7d4cb552956f.jpg,Helen Love| hands
What facial expression does David Baldacci have?,smiling,79612e154d8e3cb774e116524c723889,bea253af5c65cce9e682cde1771431a2.jpg,David Baldacci| facial expression
Is this photo of Norman Mann modern or historic?,historic,38060859edfbd9ea51948b9a9876a588,8c94c8863a1dc12601f588064056198f.jpg,photo| Norman Mann| modern| historic
What is Sandy Wexler wearing on his face?,glasses,88304e1569022060cbd45543b536b390,789db54b13e458202ce00cf67ecb4b22.jpg,Sandy Wexler| wearing| face
What color is the background in Swarnakamalam?,black,211bd3bce51045928e5491484e7f50b3,f4ec9c0ddb259c6e7bb6b8ed1c8f970d.jpg,Swarnakamalam| background color
What is over the ears of the man on the left who is playing Hip hop music?,headphones,2a5021901574f113f445c018cc3b13a5,c22fa469de500495cde9e49c19fafb4e.jpg,man| left| playing Hip hop music| over the ears
What is the main color in the Calgary Boomers logo?,orange,7bf7ea3f38c065ae1d8487ae6417b156,4fe987d30eff1647e86e30f858267ffc.jpg,Calgary Boomers| logo| main color
Does Michele Didoni's shirt have sleeves?,no,15cc00cd0948a05254e1ce56342a1e81,e9e7af0a85bfe062956f1b070e486bce.jpg,Michele Didoni| shirt| sleeves
What kind of shoes is Alessandro Pezzatini wearing?,sneakers,e8fa5ddc27d46da7b31154d494bfe3c6,890daca84ae6e9abf9529097b7185e08.jpg,Alessandro Pezzatini| shoes
Is there a body of water in this photo of Lugano?,yes,ce74c5c019b989b197c8c15bd388c629,4a012b0163ce8530bf8760511d269d4f.jpg,photo| Lugano| body of water
Is Karai (Teenage Mutant Ninja Turtles) in this image?,yes,74d6e1d36847a1e6e8e8b4d9a9f6d96a,ff47f2e753a2a5825174438fd981716b.jpg,Karai| Teenage Mutant Ninja Turtles| image
Are the colors of the American flag present in the logo of Club Atlético River Plate Puerto Rico?,yes,39790cbe52e400b77427236d15b9b0f9,083b166c958a6479df5195ec55680460.jpg,American flag| colors| Club Atlético River Plate Puerto Rico| logo
What is Chris Benoit wearing on his chest?,nothing,ccb88c88d164154335f30f6c39b363c6,ab5b1e945e030bcb84f638050605ee2c.jpg,Chris Benoit| wearing| chest
Is River of Wine based in America or Asia?,asia,a6829966713a0ff17747fd677c81ed47,d1254b95150bd8ce68249a3b662b1de7.jpg,River of Wine| based in America| based in Asia
What type of facial hair does Omar Jama have?,moustache,e200f1aaa31bbebb1844ee7304c649ca,90ae8ffd35e8b551adefe84665605d98.jpg,Omar Jama| facial hair
What is the large object in the middle left of Aria (manga)?,windmill,adf9637a449938d75d8d4a0c69edd4bd,97ea83c78ac5805af20bd175cf74fdd6.jpg,large object| Aria (manga)
What logo is on the pants of Courtney Okolo?,nike,b6bcedc1b0be14736478c74aa08cad71,6e93cfddb4d618c783245ab32c6f341a.jpg,Courtney Okolo| logo| pants
In the midst of what action is Shaunae Miller-Uibo immortalised?,running,163c5da52cdf757029aee90ad6f96317,f0ae48e8159b5765c907f6cf5a81a95c.jpg,Shaunae Miller-Uibo| action
What is the man on the left in this picture with Fabio Castro wearing on his head?,sunglasses,a8bde0ed60fdcf8d5f28bba3dc4153c1,6eaff02e7a4e8da95cd67e4021d98c6d.jpg,Fabio Castro| picture| man on the left| what he is wearing on his head
How many different uniform options are available for the 2014 Montreal Alouettes season?,three,d77ab3de05854fff3d2741f546a96bc9,c62600f3a571cbb38bd66e124be5ec8a.jpg,2014 Montreal Alouettes| uniform options| season
How many different jersey types were there during the 2014 Saskatchewan Roughriders season?,four,4ba4aa82aff79b11a3da6ef434192dfe,03fcd384671ac52f7efc39f5a3be92db.jpg,2014 Saskatchewan Roughriders season| jersey types| number
"Aside from black and white, which other color adorns the uniforms worn duing the 2014 Calgary Stampeders season?",red,3f4c1ecbd1e562f944be1a53cf3af900,53dc50ac6c0ce30a79643be629ed8896.jpg,Calgary Stampeders| uniforms| 2014 season| color
What does Beyoncé often hold in her hand while performing?,microphone,21d515705cceefea3f579fd281d07dbc,7cae0ca99c1c52652586d3d81b444ace.jpg,Beyoncé| performing| hand
How many men are seen here in this advertisement for the Screen Awards?,two,0bb28c519f83f502b8962d75652f7dab,2f8161530888d451d3c689164aa78f79.JPG,advertisement| Screen Awards| number of men
What color is the ring in the 2009 NFL season logo?,red,d19d1da052ddb481b4309b1f043390cd,dc43efe28d379eced496e264c2074d8a.jpg,2009 NFL season| logo| ring color
What is Tom Okker wearing on the outside of his polo shirt?,sweater,a4d6a1387bd8606423136878e323380d,a86332e817d902400866ca11e12e1444.jpg,Tom Okker| wearing| polo shirt
